1,Maria White,English,SR,21,0
2,Charles Harris,Architecture,SR,22,1
3,Susan Martin,Law,JR,20,2
4,Joseph Thompson,Computer Science,SO,19,3
5,Christopher Garcia,Computer Science,JR,20,4
6,Angela Martinez,History,SR,20,5
7,Thomas Robinson,Psychology,SO,18,6
8,Margaret Clark,Animal Science,FR,18,7
9,Juan Rodriguez,Psychology,JR,20,8
10,Dorthy Lewis,Finance,FR,18,9
11,Daniel Lee,Electrical Engineering,FR,17,10
12,Lisa Walker,Computer Science,SO,17,11
13,Paul Hall,Computer Science,JR,18,12
14,Nancy Allen,Accounting,JR,19,13
15,Mark Young,Finance,FR,18,14
16,Luis Hernandez,Electrical Engineering,FR,17,15
17,Donald King,Mechanical Engineering,SO,19,16
18,George Wright,Education,SR,21,17
19,Ana Lopez,Computer Engineering,SR,19,18
20,Kenneth Hill,Civil Engineering,SR,21,19
21,Karen Scott,Computer Engineering,FR,18,20
22,Steven Green,Kinesiology,SO,19,21
23,Betty Adams,Economics,JR,20,22
24,Edward Baker,Veterinary Medicine,SR,21,23
25,Maria White,English,SR,21,0
26,Charles Harris,Architecture,SR,22,1
27,Susan Martin,Law,JR,20,2
28,Joseph Thompson,Computer Science,SO,19,3
29,Christopher Garcia,Computer Science,JR,20,4
30,Angela Martinez,History,SR,20,5
31,Thomas Robinson,Psychology,SO,18,6
32,Margaret Clark,Animal Science,FR,18,7
33,Juan Rodriguez,Psychology,JR,20,8
34,Dorthy Lewis,Finance,FR,18,9
35,Daniel Lee,Electrical Engineering,FR,17,10
36,Lisa Walker,Computer Science,SO,17,11
37,Paul Hall,Computer Science,JR,18,12
38,Nancy Allen,Accounting,JR,19,13
39,Mark Young,Finance,FR,18,14
40,Luis Hernandez,Electrical Engineering,FR,17,15
41,Donald King,Mechanical Engineering,SO,19,16
42,George Wright,Education,SR,21,17
43,Ana Lopez,Computer Engineering,SR,19,18
44,Kenneth Hill,Civil Engineering,SR,21,19
45,Karen Scott,Computer Engineering,FR,18,20
46,Steven Green,Kinesiology,SO,19,21
47,Betty Adams,Economics,JR,20,22
48,Edward Baker,Veterinary Medicine,SR,21,23
49,Maria White,English,SR,21,0
50,Charles Harris,Architecture,SR,22,1
51,Susan Martin,Law,JR,20,2
52,Joseph Thompson,Computer Science,SO,19,3
53,Christopher Garcia,Computer Science,JR,20,4
54,Angela Martinez,History,SR,20,5
55,Thomas Robinson,Psychology,SO,18,6
56,Margaret Clark,Animal Science,FR,18,7
57,Juan Rodriguez,Psychology,JR,20,8
58,Dorthy Lewis,Finance,FR,18,9
59,Daniel Lee,Electrical Engineering,FR,17,10
60,Lisa Walker,Computer Science,SO,17,11
61,Paul Hall,Computer Science,JR,18,12
62,Nancy Allen,Accounting,JR,19,13
63,Mark Young,Finance,FR,18,14
64,Luis Hernandez,Electrical Engineering,FR,17,15
65,Donald King,Mechanical Engineering,SO,19,16
66,George Wright,Education,SR,21,17
67,Ana Lopez,Computer Engineering,SR,19,18
68,Kenneth Hill,Civil Engineering,SR,21,19
69,Karen Scott,Computer Engineering,FR,18,20
70,Steven Green,Kinesiology,SO,19,21
71,Betty Adams,Economics,JR,20,22
72,Edward Baker,Veterinary Medicine,SR,21,23
